claim_id,proposed_claim,evidence_level,status,source_paths,allowed_paper_use,mandatory_limitation,next_action
C0,"The policy backbone is a NoMaD-style goal-masked diffusion waypoint policy.",method/code,inherited,"train/vint_train/models/nomad/; PROJECT_CONTEXT.md","Background and method attribution only.","Architecture and pretrained policy are not contributions.","Cite NoMaD and freeze the exact checkpoint/config identity."
C1,"A Lite3 deployment stack connects visual navigation waypoints to quadruped execution.",code + representative system evidence,supported_code,"scripts/deployment/nomad_navigation_host.py; scripts/deployment/lite3_real_bridge.py; third_party/lite3/lite3_host_control/lite3_controller.py; scripts/configs/navigation_host/lite3_real_bridge_config.json","System contribution: interfaces, safety checks, scheduling, and waypoint-to-command integration.","Code existence alone does not establish robustness or portability.","Create Fig. 1 from the actual call graph and list the exact safety mechanisms verified in code."
C2,"Inference configuration exposes a measurable latency--trajectory-proxy trade-off for the frozen policy.",offline historical results,supported_scoped,"scripts/analysis/ral_offline_pareto.py; 投稿冲刺/workspace/offline_pareto/offline_pareto_unified.csv; 投稿冲刺/workspace/offline_pareto/offline_metric_notes.md","Fig. 2 and Table II as a within-source deployment-time analysis.","Quality is a trajectory-statistics proxy; source-relative z-scores and Pareto flags are not cross-source rankings; all cases are Go Stanford.","Use source facets or an explicit non-comparability caption."
C3,"The unified offline analysis contains 131 configuration rows and 2004 case-record rows with 23 within-source Pareto rows.",offline aggregation,supported_reproduced,"scripts/analysis/ral_offline_pareto.py; 投稿冲刺/workspace/offline_pareto/offline_metric_notes.md","Reproducibility/integrity statement.","These are rows, not 131 unique configurations or 2004 independent navigation trials; configurations repeat across experiment families.","Keep the word 'rows/records' in text and captions."
C4,"Reported p50/p90/p95 latency quantifies historical inference latency variation.",offline historical results,supported_scoped,"投稿冲刺/workspace/offline_pareto/offline_pareto_unified.csv; 投稿冲刺/workspace/offline_pareto/offline_metric_notes.md","Table II with an exact percentile definition.","Percentiles are across case-level mean latencies (each already averaged over 3 or 8 runs), not per-call tail latency and not full-loop robot latency.","Do not write 'per-call p95' or 'closed-loop p95'."
C5,"Moderate TTS candidate budgets improve offline trajectory proxies at acceptable latency.",offline proxy,conditional_circular,"results/day4/20260421_140601_tts_stat_experiment/tts_case_records.csv; 投稿冲刺/workspace/offline_pareto/fig_tts_marginal_gain.pdf; 投稿冲刺/workspace/offline_pareto/offline_metric_notes.md","A budgeted candidate-search observation, not an independent navigation-quality improvement claim.","The heuristic verifier and reported proxy reuse forward-progress/lateral/smoothness terms; part of the gain is true by construction. TTS=8 ranks the standard batch of 8 rather than expanding generation.","State circularity in caption/discussion and require closed-loop confirmation before recommending a mode."
C6,"Fast/Balanced/Quality modes are useful deployment candidates.",offline synthesis,descriptive_only,"投稿冲刺/workspace/offline_pareto/table_budget_modes.md","Discussion and selection of configurations for closed-loop testing.","Modes are not globally optimized or validated deployment recommendations; Balanced can measure marginally faster than Fast because TTS=8 re-ranks the standard batch.","Map each mode to existing MuJoCo raw records and report uncertainty."
C7,"Existing MuJoCo results establish closed-loop executability of some configurations.",simulation historical results,partial,"results/benchmark/20260421_seeded_mujoco_ddim2_medium_hard/; results/benchmark/20260421_seeded_mujoco_ddim3_medium_hard/; results/benchmark/20260421_seeded_mujoco_ddim5_medium_hard/; results/benchmark/20260421_seeded_mujoco_ddim10_medium_hard/; results/benchmark/20260421_seeded_mujoco_cfg_medium_ddim3/","Table III may report only configurations and fields present in raw/aggregated JSON.","Current generated reports are saturated at 100% on included tasks, use stabilizing control logic, and some templates claim multi-encoder comparison while listing only the baseline encoder.","Write a schema-validating aggregator; suppress unsupported automatic prose and disclose stabilizer effects."
C8,"The current evidence shows one encoder has better closed-loop navigation behavior.",simulation historical results,unsupported_behavior_supported_latency,"results/benchmark/20260421_seeded_mujoco_encoder_benchmark/; 投稿冲刺/workspace/mujoco/mujoco_closed_loop_unified.csv","Use only for historical wall-time comparison, not navigation-quality superiority.","The seeded encoder benchmark contains four encoders, but recorded success, steps, path length, and final distance are saturated or repeated across encoders; the observable difference is mainly wall time. Several non-encoder benchmark reports also use a misleading multi-encoder template while containing only the baseline.","Report encoder latency descriptively; omit a closed-loop quality ranking unless non-saturated, provenance-complete evidence is obtained externally."
C9,"Frozen real-robot trials show the system has executed on Lite3.",real-robot representative evidence,partial_manual,"history-doc/毕设冲刺/video/*; scripts/analysis/ral_real_robot_timing.py; 投稿冲刺/workspace/real_robot/","Representative anchor validation and failure-case illustration only; sampled per-loop timing may be reported with exact scope.","Summary status is not a verified task outcome; sample selection is non-random; 7 timing logs contain 528 sampled loops, while 14 trial outcomes remain manually unlabeled.","A human must label success/partial/failure/unusable from video before Table IV; keep unknown configuration IDs unknown."
C10,"The approach robustly generalizes across datasets, outdoor scenes, or robot embodiments.",none,unsupported,"投稿冲刺/workspace/offline_pareto/offline_metric_notes.md; nomad_dataset/go_stanford/","Do not claim.","All unified offline cases are Go Stanford; frozen outdoor clips are anecdotal; no cross-dataset controlled experiment exists.","Reserve for future externally run multi-dataset and non-saturated closed-loop work."
C11,"This work proposes a new navigation policy, learned verifier, safety guarantee, or state-of-the-art method.",none,unsupported,"投稿冲刺/01_贡献点与前沿对照.md; 投稿冲刺/04_RA-L可投性评估与离线补强.md","Do not claim.","DDIM/CFG/TTS/encoder are existing mechanisms and the current verifier is heuristic.","Keep the paper framed as frozen-policy deployment-time empirical analysis."
