trial_id,directory_label_prior,video_views,visual_motion_evidence,formal_outcome,provisional_use,confidence,evidence_limit
0428下午基线，后方走廊，失败,failure,robot_camera,clear,needs_human_goal_check,motion_evidence_only,medium,"Progress toward the chair area is visible; goal and failure trigger are not observable."
0428下午最优方案，后方走廊。成功,success,robot_camera,clear,needs_human_goal_check,motion_evidence_only,medium,"Progress along the corridor is visible; goal radius and termination reason are not observable."
ddim2cfg0tts8,unknown,robot_camera,limited,needs_human_goal_check,timing_anchor_only,low,"Short clip with modest movement near a pole; no goal marker or terminal event."
ddim2cfg2tts8,unknown,robot_camera,clear,needs_human_goal_check,timing_anchor_only,medium,"Progress past a pole toward the building-2 sign is visible; formal goal is unknown."
ddim3cfg0tts0,unknown,robot_camera,clear,needs_human_goal_check,timing_anchor_only,medium,"Progress past a pole and sign is visible; formal goal is unknown."
ddpm,unknown,robot_camera,limited,needs_human_goal_check,timing_anchor_only,low,"Short clip with modest viewpoint change; no goal marker or terminal event."
pingpong-road,unknown,robot_camera,limited,needs_human_goal_check,motion_evidence_only,low,"Rotation and local movement around furniture are visible; completion cannot be inferred."
二号楼楼下平台，失败,failure,robot_camera,clear,needs_human_goal_check,motion_evidence_only,medium,"Motion along the covered platform is visible; failure trigger is not observable."
二号楼楼下斜坡1,unknown,external_camera+robot_camera,clear,needs_human_goal_check,multi_view_motion_anchor,medium,"Both views show sustained traversal; no frozen endpoint or success radius is available."
二号楼楼下斜坡2,unknown,external_camera+robot_camera,clear,needs_human_goal_check,multi_view_motion_anchor,medium,"Both views show sustained traversal; no frozen endpoint or success radius is available."
电草2，失败,failure,external_camera+robot_camera,limited,needs_human_goal_check,failure_case_candidate,medium,"Outdoor movement is visible but progress/termination is ambiguous; directory label is only a prior."
电草，失败,failure,external_camera+robot_camera,clear,needs_human_goal_check,failure_case_candidate,medium,"Outdoor movement and exit from the external frame are visible; failure criterion is not observable."
走廊失败,failure,external_camera+robot_camera,clear,needs_human_goal_check,failure_case_candidate,medium,"The robot translates down the corridor in both views; the intended endpoint and failure cause are not visible."
走廊成功,success,external_camera+robot_camera,clear,needs_human_goal_check,multi_view_motion_anchor,medium,"Sustained corridor traversal is visible in both views; success radius and termination reason are not visible."
